busname,bustype,Departing_time,Reaching_time,Duration,Price,rating,seats_available
Vibhav Holidays,A/C Sleeper (2+1),23:00,04:00,05h 00m,1500,3.2,30 Seats available
SRI VARAHA TOURS AND TRAVELS,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),22:45,04:30,05h 45m,1999,3.2,49 Seats available
Sri Krishna Travels,A/C Sleeper (2+1),21:15,01:55,04h 40m,999,3.0,29 Seats available
Sea Bird Tourist,A/C Sleeper (2+1),19:45,23:15,27h 30m,2000,3.0,17 Seats available
Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),21:00,03:00,06h 00m,2000,3.0,1 Seat available
SVD Vedansh Travels,A/C Sleeper (2+1),14:30,21:00,06h 30m,890,2.1,30 Seats available
Shyamoli Paribahan Pvt Ltd,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:30,01:45,03h 15m,1210,2.9,29 Seats available
Chalasani Travels (Kaleswari),A/C Sleeper (2+1),19:30,00:03,04h 33m,900,2.9,24 Seats available
Svkdt travels,Scania AC Multi Axle Sleeper (2+1),18:30,23:55,05h 25m,1000,1.9,27 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:00,22:00,26h 00m,1999,2.0,15 Seats available
Sri Krishna Travels,A/C Sleeper (2+1),22:30,03:00,04h 30m,2499,2.8,1 Seat available
Cherry Collars,Bharat Benz A/C Sleeper (2+1),17:00,22:20,05h 20m,1235,2.5,18 Seats available
GMC Travels,A/C Seater / Sleeper (2+1),17:00,21:20,04h 20m,880,2.8,38 Seats available
GreenLine Travels And Holidays,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:45,05:00,06h 15m,799,2.8,36 Seats available
Komitla Trans lines.,NON A/C Sleeper (2+1),15:30,20:30,05h 00m,899,2.8,26 Seats available
Chalasani Travels (Kaleswari),A/C Sleeper (2+1),21:00,01:11,04h 11m,900,2.9,20 Seats available
Rapid Travels,NON A/C Sleeper (2+1),22:45,03:20,04h 35m,1199,1.8,20 Seats available
Durga Shree Travels,A/C Sleeper (2+1),21:05,21:35,24h 30m,2399,2.4,17 Seats available
Varsha Travels,A/C Sleeper (2+1),20:30,23:00,26h 30m,1899,1.9,24 Seats available
KKaveri Travels,Non A/C Seater / Sleeper (2+1),22:30,03:30,05h 00m,1090,1.4,30 Seats available
Morning Star Travels,A/C Sleeper (2+1),18:30,23:45,05h 15m,790,2.7,30 Seats available
Morning Star Travels,A/C Sleeper (2+1),18:30,23:50,05h 20m,790,2.7,30 Seats available
Morning Star Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:25,02:25,04h 00m,790,2.7,31 Seats available
Komitla Trans lines.,NON A/C Sleeper (2+1),22:00,01:55,03h 55m,798,2.2,25 Seats available
Varsha Travels,A/C Sleeper (2+1),21:30,21:00,23h 30m,1899,1.7,36 Seats available
Rapid Travels,NON A/C Sleeper (2+1),21:25,03:00,05h 35m,1699,1.9,24 Seats available
Varsha Travels,A/C Sleeper (2+1),19:30,23:00,27h 30m,1899,1.7,20 Seats available
Chalasani Travels (Kaleswari),A/C Sleeper (2+1),20:50,02:00,05h 10m,999,2.9,30 Seats available
Sri Keerthana Sai Travels,A/C Sleeper (2+1),17:30,21:45,04h 15m,1199,2.8,25 Seats available
Sri Keerthana Sai Travels,A/C Sleeper (2+1),17:30,21:45,04h 15m,1199,2.8,24 Seats available
Sri Keerthana Sai Travels,A/C Seater / Sleeper (2+1),17:30,21:45,04h 15m,1364,2.8,16 Seats available
Morning Star Travels,A/C Sleeper (2+1),17:45,22:30,04h 45m,990,2.7,30 Seats available
Harikrishna Travels,Non A/C Seater / Sleeper (2+1),21:00,01:30,04h 30m,3999,2.7,33 Seats available
Vibhav Holidays,A/C Sleeper (2+1),20:00,23:00,27h 00m,1904,2.8,1 Seat available
Sri Shanmukh Travels,A/C Sleeper (2+1),20:40,03:00,06h 20m,5000,2.3,30 Seats available
SVD Vedansh Travels,A/C Sleeper (2+1),17:55,22:45,04h 50m,849,2.1,29 Seats available
KKaveri Travels,Non A/C Seater / Sleeper (2+1),14:00,19:15,05h 15m,1590,1.4,33 Seats available
KKaveri Travels,Non A/C Seater / Sleeper (2+1),18:00,22:15,04h 15m,4000,1.4,33 Seats available
