busname,bustype,Departing_time,Reaching_time,Duration,Price,rating,seats_available
APSRTC - 5625,Express Non AC Seater 2+3,22:00,04:00,06h 00m,296,3.9,43 Seats available
APSRTC - 5028,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,03:35,05h 35m,426,4.4,31 Seats available
APSRTC - 5447,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:10,04:10,06h 00m,426,4.3,30 Seats available
APSRTC - 5086,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,04:00,05h 35m,426,4.2,31 Seats available
APSRTC - 47148,INDRA(A.C. Seater),22:30,03:45,05h 15m,506,4.1,36 Seats available
APSRTC - 47239,Express Non AC Seater 2+3,22:30,06:00,07h 30m,296,3.2,43 Seats available
APSRTC - 5459,SAPTAGIRI EXPRESS,23:00,05:00,06h 00m,296,3.9,38 Seats available
APSRTC - 5445,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,04:40,05h 25m,426,3.7,31 Seats available
APSRTC - 5465,SAPTAGIRI EXPRESS,23:20,05:20,06h 00m,296,4.1,43 Seats available
APSRTC - 5453,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05:30,06h 00m,426,4.1,25 Seats available
APSRTC - 5461,SAPTAGIRI EXPRESS,23:55,05:55,06h 00m,296,3.9,40 Seats available
FRESHBUS,Electric A/C Seater (2+2),06:35,12:15,05h 40m,293,4.7,27 Seats available
FRESHBUS,Electric A/C Seater (2+2),22:30,03:45,05h 15m,398,4.6,27 Seats available
FRESHBUS,Electric A/C Seater (2+2),19:20,01:00,05h 40m,398,4.6,25 Seats available
AdYolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),21:45,03:33,05h 48m,350,3.8,33 Seats available
FRESHBUS,Electric A/C Seater (2+2),08:25,14:05,05h 40m,294,4.6,29 Seats available
FRESHBUS,Electric A/C Seater (2+2),14:30,20:50,06h 20m,294,4.6,29 Seats available
FRESHBUS,Electric A/C Seater (2+2),12:35,18:15,05h 40m,294,4.6,34 Seats available
AdRK Travels,A/C Seater / Sleeper (2+1),21:00,03:50,06h 50m,350,3.6,32 Seats available
BSRM Travels,Non A/C Seater / Sleeper (2+1),20:45,03:50,07h 05m,359,4.6,25 Seats available
BSRM Travels,A/C Seater / Sleeper (2+1),21:00,04:00,07h 00m,332,4.7,21 Seats available
FRESHBUS,Electric A/C Seater (2+2),23:25,04:50,05h 25m,398,4.5,31 Seats available
FRESHBUS,Electric A/C Seater (2+2),23:40,05:20,05h 40m,337,4.6,34 Seats available
RCV Travels,A/C Seater / Sleeper (2+1),21:00,04:40,07h 40m,462,4.7,34 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),13:45,20:08,06h 23m,350,4.3,31 Seats available
HYBUS,Bharat Benz A/C Sleeper (2+1),21:55,04:45,06h 50m,585,4.6,30 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),14:55,21:39,06h 44m,350,4.1,30 Seats available
NueGo,Electric A/C Seater (2+2),07:00,12:30,05h 30m,332,4.2,39 Seats available
NueGo,Electric A/C Seater (2+2),06:00,11:30,05h 30m,332,4.3,41 Seats available
NueGo,Electric A/C Seater (2+2),23:00,05:15,06h 15m,332,4.2,35 Seats available
NueGo,Electric A/C Seater (2+2),22:00,03:30,05h 30m,332,4.3,32 Seats available
